id	custom_label_2	custom_label_3	custom_label_4
P01	50	Polytex	45
300656	35		25
P05	75		70
1221450	60	Marčík	50
1051320	55		55
PP000	40	Aml dzianiny	30
PP033	45	Aml dzianiny	35
PPMEL5B	45	Aml dzianiny	35
G009	35		25
AB464	45	Abtex	30
AB470	45	Abtex	35
ABF499	40	Abtex	30
AB644	40	Abtex	30
P006	30	Polytex	25
AB645	40	Abtex	30
PP024/1	40	Aml dzianiny	35
PP021/1	45	Aml dzianiny	35
205003	55		45
105001RED	55	Rumitex	45
1051314	50	Rumitex	40
16549	30	Oaza	15
P10	70		70
PO009	40	Polytex	30
P033	45	Polytex	35
7503901	40		30
PP010	30	Aml dzianiny	20
1240/NIK	40		35
1240/STA	40		35
1252/001	60		55
1252/122	60		55
1252/123	60		55
1252/18	60		55
1252/19	60		55
1252/225	60		55
1252/323	60		55
1252/331	60		55
1252/332	60		55
1252/336	60		55
1252/346	60		55
1252/348	60		55
1252/437	60		55
1252/449	60		55
1252/472	60		55
1252/548	60		55
1252/549	60		55
1252/550	60		55
1252/654	60		55
1252/656	65		60
1252/666	60		55
1252/669	60		55
1252/687	60		55
1252/697	60		55
1252/702	60		55
1252/713	60		55
1252/720	60		55
1252/723	60		55
1252/728	60		55
1252/734	60		55
1252/741	60		55
1252/779	60		55
1252/850	60		55
1252/851	60		55
1252/857	60		55
1252/885	60		55
1252/888	60		55
1252/998	60		55
1252/999	60		55
ST0012	40		35
ST013	45		40
1279/NIK	60		55
1279/ZLA	45		40
90140125	55		15
ST016	75		75
730730/999	45		40
730730/CER	65		65
730730/NIK	45		40
730730/STA	65		65
1357/BAV	65	Jiří Steuer	65
1357/BAV2	65	Jiří Steuer	65
1357/BAV3	65	Jiří Steuer	65
1357/BAV4	65	Jiří Steuer	65
1357/BAV5	65	Jiří Steuer	65
1357/BAV6	65	Jiří Steuer	65
1357/BAV7	65	Jiří Steuer	65
1357/BIL	65	Jiří Steuer	65
1357/CER	65	Jiří Steuer	65
1357/CERNY	65	Jiří Steuer	60
1357/CYKL	65	Jiří Steuer	65
1357/IVORY	65	Jiří Steuer	65
1357/MOD	65	Jiří Steuer	65
1357/MODRA	70	Jiří Steuer	70
1357/SEDY	65	Jiří Steuer	65
1357/SEDY TM	65	Jiří Steuer	65
1357/SMET	65	Jiří Steuer	65
800824	65	Jiří Steuer	65
PP037/1	45	Aml dzianiny	35
PWE17-1231	35		30
PPJEANS/1	45	Aml dzianiny	40
510496	60		55
39202	40		35
1540	45	Strima	40
4312	55		50
MB18	55		50
1941/BAV	55	Jiří Steuer	50
1941/BAV2	55	Jiří Steuer	50
1941/BAV3	60	Jiří Steuer	55
1941/BAV4	60	Jiří Steuer	55
1941/BAV5	55	Jiří Steuer	50
1941/BAV6	55	Jiří Steuer	50
1941/BAV7	55	Jiří Steuer	50
1941/BIL	55	Jiří Steuer	50
1941/CER	60	Jiří Steuer	55
1941/KHA	55	Jiří Steuer	50
1941/MOD	60	Jiří Steuer	55
1941/SED	55	Jiří Steuer	50
800888	55	Jiří Steuer	50
PP051	45	Aml dzianiny	35
PLAVK06C	60		55
87505	50		45
1992	60		55
2019/234	40		35
2019/308	40		35
2019/321	40		
2019/348	80		75
2019/999	40		35
2019/BEZ	85		85
2019/BIL	40		35
2019/MET	35		25
2019/MET2	85		85
2019/MET3	80		75
2019/MET4	60		55
2019/MET5	40		35
2019/MOD	80		75
2019/SPI2	40		35
2022/690	70		65
2022/999	70		65
2022/BIL	85		80
2022/BIL2	80		80
2025/234	80		80
2025/308	80		80
2025/BEZ	80		80
2025/BIL	80		80
2025/CER	80		80
2025/HNE	100		95
2025/KHA	80		80
2025/M	80		80
2025/MOD	100		95
2025/SED	80		80
2025/SME	80		80
2025/STA	80		80
2025/ZLU	80		80
73009	65		60
2028	40		35
73037	70		65
2049/001	55		50
2049/121	60		60
2049/885	60		60
2049/999	60		60
PP007	35	Aml dzianiny	20
PP034	45	Aml dzianiny	40
PP075	40	Aml dzianiny	35
AB666	40	Abtex	30
PP001	45	Aml dzianiny	35
PP070/1	45	Aml dzianiny	35
75039011	40	Kvaltex	30
75039015	35	Kvaltex	20
60702180	40	Novatex	35
60700681	5	Novatex	-10
60702372	40	Novatex	35
SP18017	40		30
2340/BIL	55		50
2340/CER	55		50
2340/PRIROD	55		50
52025/BIL	60		55
52025/CER	15		10
52025/SED	60		55
52025/ZEL	20		10
52025/ZLU	60		55
440503/BIL	45		40
440503/CER	30		20
750304	55		50
SDL38	45	Edentex	35
PPGRAFIT	45	Aml dzianiny	40
2550/SED	70		65
60020/BIL	60		55
60020/CER	60		55
2556/2 C	55		50
2556/2 C10	55		50
2556/2 C11	55		50
2556/2 C12	55		50
2556/2 C13	55		50
2556/2 C14	55		50
2556/2 C15	55		50
2556/2 C16	55		50
2556/2 C17	55		50
2556/2 C2	55		50
2556/2 C3	55		50
2556/2 C4	55		50
2556/2 C5	55		50
2556/2 C6	55		50
2556/2 C7	55		50
2556/2 C8	55		50
2556/2 C9	55		50
2556/BEZ	55		50
2556/CER	55		50
2556/FIA	55		50
2556/HNE	55		50
2556/KHA	55		50
2556/MOD	55		50
2556/ORA	55		50
2556/REZ	55		50
2556/SED	55		50
2556/SVE	55		50
2556/ZEL	55		50
2556/ZLU	55		50
ST021	25		15
2568/BIL	45		40
2568/SED	45		40
PP114/1	40	Aml dzianiny	30
2661/BIL	35		25
2661/ERN/2/MET	25		20
AB15	40	Abtex	25
AB16	50	Abtex	40
AB17	45	Abtex	35
AB18	40	Abtex	30
60700844	50	Novatex	40
60702184	40	Novatex	35
PP123/2	45	Aml dzianiny	30
60701212	40	Novatex	35
60700252	40	Novatex	35
62020340	55	Dream	50
3519/0-5	45	Hrošo	40
3519/1	35	Hrošo	30
3519/10	35	Hrošo	30
3519/2	55	Hrošo	50
62020001	55	Dream	50
F6969	5		-5
2506/001	40		30
2506/549	40		30
2506/999	40		30
2506/JEANS	40		30
2506S/888	40		30
3783/121	40		30
3783/713	40		30
3783/TMAVA	40		30
3786/001	35		30
3786/18	35		30
3786/337	35		30
3786/455	35		30
3786/534	35		30
3786/549	35		30
3786/551	35		30
3786/558	35		30
3786/563	35		30
3786/583	35		30
3786/584	35		30
3786/680	35		30
3786/686	35		30
3786/688	35		30
3786/710	35		30
3786/722	35		30
3786/737	35		30
3786/738	35		30
3786/775	35		30
3786/779	35		30
3786/863	35		30
3786/881	35		30
3786/887	35		30
3786/999	35		30
AB19	40	Abtex	30
AB20	60	Abtex	55
3864/001	50		45
3864/999	50		45
3870/NIK	45		40
3870/STA	45		40
3870/STA2	75		70
9611	50	Polytex	45
AB21	40	Abtex	25
AB22	40	Abtex	30
TM26	35		25
MOON202	40		30
4131/101	55	Unipoly	50
4131/102	55	Unipoly	50
4131/103	50	Unipoly	45
4131/104	50	Unipoly	45
4131/105	50	Unipoly	45
4131/106	50	Unipoly	45
4131/107	50	Unipoly	45
4131/108	50	Unipoly	45
4131/109	50	Unipoly	45
4131/110	50	Unipoly	45
4131/111	50	Unipoly	45
4131/112	50	Unipoly	45
4131/113	50	Unipoly	45
4131/114	50	Unipoly	45
4131/115	50	Unipoly	45
4131/116	50	Unipoly	45
4131/117	50	Unipoly	45
4131/118	50	Unipoly	45
4131/119	50	Unipoly	45
4131/120	50	Unipoly	45
4131/121	50	Unipoly	45
4131/122	50	Unipoly	45
4131/123	50	Unipoly	45
4131/124	50	Unipoly	45
4131/125	50	Unipoly	45
4131/126	50	Unipoly	45
4131/127	50	Unipoly	45
4131/128	50	Unipoly	45
4131/129	50	Unipoly	45
4131/130	50	Unipoly	45
4131/131	50	Unipoly	45
4131/132	50	Unipoly	45
4131/133	50	Unipoly	45
4131/134	50	Unipoly	45
4131/135	50	Unipoly	45
4131/136	50	Unipoly	45
